StateWellNumber,Aquifer,LatDD,LonDD,Avg_Fl,chtexture_texcl,Well_Depth,slope_l,slope_r,slope_h,elev_l,elev_r,elev_h,sandtotal_l,sandtotal_r,sandtotal_h,claytotal_l,claytotal_r,claytotal_h,om_l,om_r,om_h,ksat_l,ksat_r,ksat_h,awc_l,awc_r,awc_h,wsatiated_l,wsatiated_r,wsatiated_h,ll_l,ll_r,ll_h,pi_l,pi_r,pi_h,kwfact,kffact,ec_l,ec_r,ec_h,ph_l,ph_r,ph_h,PPT,Tmean,Ag_indicator,LU_Code1
764930,Dockum,35.029722,-102.033611,2.171444444,Sandy clay loam,560,3,4,5,670,1085,1158,25,49.59999847,70,18,29.60000038,35,0.100000001,0.200000003,0.5,4,9,14,0.079999998,0.119999997,0.170000002,34,39,43,26,36,41,9,16,18,0.28,0.28,1,3.099999905,5,7.900000095,8.199999809,9,479.947998,14.17000008,0,52
864301,Dockum,35.118889,-103.021111,7,Clay loam,80,1,3,5,1158,1386,1615,5,27.10000038,65,20,31,50,0.100000001,0.25,0.5,1.399999976,9,14,0.119999997,0.129999995,0.140000001,0,43,0,20,30,40,5,11,20,0.37,0.37,0,1,2,7.900000095,8.199999809,8.399999619,440.8869934,14.46000004,0,71
1001601,Dockum,34.9530556,-102.9122222,1.1,Loam,260,0,0.5,1,853,1097,1524,30,50.90000153,52,10,19.10000038,27,1.5,2.5,3,4,9,42,0.100000001,0.129999995,0.150000006,38,42,47,24,35,43,6,14,19,0.32,0.32,0,1,2,6.599999905,7.199999809,7.800000191,459.8779907,13.82999992,1,82
1002702,Dockum,34.891945,-102.851945,0.285,Clay loam,225,1,2,3,823,1128,1615,20,35.20000076,45,28,31.20000076,35,1,2.400000095,2.5,1.399999976,7.800000191,14,0.119999997,0.150000006,0.170000002,43,44,44,40,46,50,19,22,25,0.28,0.28,0,0.200000003,1,6.599999905,8.199999809,8.399999619,466.1069946,13.81999969,0,71
1005226,Dockum,34.968611,-102.442778,0.5,Sandy clay loam,980,0,0.5,1,975,1128,1433,25,43,65,22,37,40,0.100000001,0.300000012,0.5,4,9,14,0.100000001,0.129999995,0.159999996,32,37,44,32,40,51,15,21,29,0.24,0.24,0,1,2,7.900000095,8.5,9,481.7529907,13.79999924,0,21
1006832,Dockum,34.893611,-102.306945,0.8,Sandy clay loam,780,0,0.5,1,853,1128,1524,25,40.20000076,65,22,39.5,40,0.100000001,0.300000012,0.5,4,9,14,0.100000001,0.150000006,0.170000002,34,39,44,32,44,59,15,21,36,0.2,0.2,0,1,2,7.900000095,8.300000191,9,483.5899963,14.07999992,1,82
1013503,Dockum,34.802501,-102.423333,6.1925,Loam,954,3,8,12,670,1097,1433,25,49.79999924,70,18,21.29999924,35,0.100000001,0.449999988,0.75,4,9,14,0.100000001,0.140000001,0.170000002,32,39,44,26,31,45,9,13,24,0.37,0.37,0,0.5,2,7.400000095,8.199999809,8.399999619,486.2039795,13.96000004,0,22
1013639,Dockum,34.805556,-102.375278,3.15,Sandy clay loam,880,0,0.5,1,853,1128,1524,25,40.20000076,65,22,39.5,40,0.100000001,0.300000012,0.5,4,9,14,0.100000001,0.150000006,0.170000002,34,39,44,32,44,59,15,21,36,0.2,0.2,0,1,2,7.900000095,8.300000191,9,485.7819824,13.97999954,1,82
1014156,Dockum,34.836389,-102.369722,2.234,Sandy clay loam,880,0,0.5,1,853,1128,1524,25,40.20000076,65,22,39.5,40,0.100000001,0.300000012,0.5,4,9,14,0.100000001,0.150000006,0.170000002,34,39,44,32,44,59,15,21,36,0.2,0.2,0,1,2,7.900000095,8.300000191,9,485.4779968,14.00999928,0,22
1014443,Dockum,34.821389,-102.370555,2.2,Clay loam,875,1,2,3,823,1128,1615,20,35.20000076,45,28,31.20000076,35,1,2.400000095,2.5,1.399999976,7.800000191,14,0.119999997,0.150000006,0.170000002,43,44,44,40,46,50,19,22,25,0.28,0.28,0,0.200000003,1,6.599999905,8.199999809,8.399999619,485.5409851,14.00999928,0,71
1015201,Dockum,34.855001,-102.195278,2.6,Sandy clay loam,154,0,0.5,1,975,1128,1433,25,43,65,22,37,40,0.100000001,0.300000012,0.5,4,9,14,0.100000001,0.129999995,0.159999996,32,37,44,32,40,51,15,21,29,0.24,0.24,0,1,2,7.900000095,8.5,9,482.2939758,14.04999924,0,71
1015901,Dockum,34.7722222,-102.1375,1,Clay loam,340,0,0.5,1,853,1128,1524,25,34.70000076,45,27,28.10000038,40,1.5,2.5,3,1.399999976,5.699999809,14,0.119999997,0.170000002,0.180000007,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.400000095,7.900000095,8.399999619,485.2579956,13.86999989,0,71
1016103,Dockum,34.851945,-102.096389,0.7,Clay loam,220,0,0.5,2,670,1097,1433,30,41.20000076,65,22,29.60000038,35,0.300000012,0.460000008,1,4,9,14,0.090000004,0.119999997,0.140000001,35,38,43,32,39,45,14,20,22,0.28,0.28,0,1,2,7.900000095,8.199999809,8.399999619,481.7679749,13.93999958,0,71
1016104,Dockum,34.8425,-102.1213889,1.3,Clay loam,460,1,2,3,823,1128,1615,25,34.70000076,45,22,28.10000038,40,1.5,2.5,3,1.399999976,5.699999809,14,0.119999997,0.170000002,0.180000007,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.400000095,7.900000095,8.399999619,481.8609924,14.02999973,0,71
1016702,Dockum,34.7711111,-102.09,1.495,Clay loam,390,0,0.5,1,853,1128,1524,25,34.70000076,45,27,28.10000038,40,1.5,2.5,3,1.399999976,5.699999809,14,0.119999997,0.170000002,0.180000007,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.400000095,7.900000095,8.399999619,483.8509827,13.92000008,0,71
1101212,Dockum,34.983055,-101.950278,2.183333333,Clay loam,504,0,0.5,1,853,1128,1524,25,34.70000076,45,27,28.10000038,40,1.5,2.5,3,1.399999976,5.699999809,14,0.119999997,0.170000002,0.180000007,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.400000095,7.900000095,8.399999619,477.4129944,14.42000008,0,21
1101607,Dockum,34.924722,-101.881111,0.42,Clay loam,482,1,2,3,853,1120,1524,25,34.70000076,45,27,28.10000038,40,1.5,2.5,3,1.399999976,5.699999809,14,0.119999997,0.170000002,0.180000007,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.400000095,7.900000095,8.399999619,478.4229736,14.35999966,0,71
1105101,Dockum,34.9894444,-101.4744444,2.8,Silty clay loam,241,0,0.400000006,1,914,1128,1372,5,12.30000019,20,27,33.90000153,40,1.5,2.400000095,3,1.399999976,2.700000048,4,0.180000007,0.200000003,0.219999999,39,42,49,41,49,58,19,24,29,0.37,0.37,0,0.5,2,6.599999905,7.5,7.800000191,536.9679565,14.3399992,0,71
1105302,Dockum,34.999445,-101.415834,1.5,Silty clay loam,258,0,0.400000006,1,914,1128,1372,5,12.30000019,20,27,33.90000153,40,1.5,2.400000095,3,1.399999976,2.700000048,4,0.180000007,0.200000003,0.219999999,39,42,49,41,49,58,19,24,29,0.37,0.37,0,0.5,2,6.599999905,7.5,7.800000191,547.7299805,14.28999996,0,21
1105304,Dockum,34.987222,-101.389722,0.93,Clay loam,242,1,2,3,823,1128,1433,20,38.09999847,52,18,36.90000153,40,0.050000001,0.100000001,0.300000012,4,9,14,0.07,0.100000001,0.119999997,31,36,44,22,41,47,3,19,26,0.24,0.24,0,1,2,7.900000095,8.399999619,9,546.9359741,14.25,0,21
1106803,Dockum,34.9089083,-101.3260778,1.5,Silty clay loam,310,0,0.400000006,1,914,1128,1372,5,12.30000019,20,27,33.90000153,40,1.5,2.400000095,3,1.399999976,2.700000048,4,0.180000007,0.200000003,0.219999999,39,42,49,41,49,58,19,24,29,0.37,0.37,0,0.5,2,6.599999905,7.5,7.800000191,544.0280151,14.43999958,0,71
1106906,Dockum,34.914445,-101.284722,2.7675,Silty clay loam,350,0,0.400000006,1,914,1128,1372,5,12.30000019,20,27,33.90000153,40,1.5,2.400000095,3,1.399999976,2.700000048,4,0.180000007,0.200000003,0.219999999,39,42,49,41,49,58,19,24,29,0.37,0.37,0,0.5,2,6.599999905,7.5,7.800000191,553.6170044,14.46000004,0,71
1118102,Dockum,34.735834,-101.865556,2.2,Sandy clay loam,840,1,2,3,792,1128,1463,30,48.5,70,20,33.59999847,40,0.100000001,0.25,0.5,4,9,14,0.090000004,0.109999999,0.129999995,34,38,42,24,38,51,4,16,27,0.2,0.2,0,1,2,7.900000095,8.399999619,9,471.0109863,14.13999939,0,71
1118104,Dockum,34.735556,-101.865001,2.89,Sandy clay loam,830,1,2,3,792,1128,1463,30,48.5,70,20,33.59999847,40,0.100000001,0.25,0.5,4,9,14,0.090000004,0.109999999,0.129999995,34,38,42,24,38,51,4,16,27,0.2,0.2,0,1,2,7.900000095,8.399999619,9,471.0109863,14.13999939,0,71
1121604,Dockum,34.689722,-101.380833,3.75,Clay loam,400,0,0.5,1,853,1128,1524,25,34.70000076,45,27,28.10000038,40,1.5,2.5,3,1.399999976,5.699999809,14,0.119999997,0.170000002,0.180000007,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.400000095,7.900000095,8.399999619,519.9989624,14.82999992,0,71
1126611,Dockum,34.546667,-101.768611,1.425,Silty clay,825,0,0.400000006,1,975,1128,1402,5,13.80000019,25,35,39.09999847,45,0.100000001,0.300000012,0.5,1.399999976,2.700000048,4,0.119999997,0.140000001,0.180000007,35,42,50,42,44,57,16,18,33,0.37,0.37,0,1.899999976,2,7.900000095,8,8.399999619,513.1268921,14.42999935,0,22
1126612,Dockum,34.558889,-101.776944,1.235,Silty clay,801,0,0.400000006,1,975,1128,1402,5,13.80000019,25,35,39.09999847,45,0.100000001,0.300000012,0.5,1.399999976,2.700000048,4,0.119999997,0.140000001,0.180000007,35,42,50,42,44,57,16,18,33,0.37,0.37,0,1.899999976,2,7.900000095,8,8.399999619,512.7879639,14.36999989,0,71
1126916,Dockum,34.515278,-101.762778,1.926666667,Sandy clay loam,860,1,2,3,853,1190,1524,25,40.20000076,65,22,39.5,40,0.100000001,0.300000012,0.5,4,9,14,0.100000001,0.150000006,0.170000002,34,39,44,32,44,60,15,21,36,0.2,0.2,0,1,2,7.900000095,8.300000191,9,513.0910034,14.43999958,0,71
